,p1,p2,first_turn,winner,turn_count,final_board_state
0,AIv3,Random,AIv3,AIv3,15,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 14]
 [ 0  0 13  0  0  0 12]
 [ 0  0  6 11  0  0  4]
 [ 0  0  5 10  0  0  2]
 [ 7  0  3  8  9  0  1]]"
0,AIv3,Random,Random,AIv3,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 17  0  0  0]
 [11  0  0 15 16  0 14]
 [10  0  0 13 12  7  5]
 [ 8  2  4  1  9  6  3]]"
0,AIv3,Random,AIv3,Random,26,"[[ 0  0  0  0  0 14  0]
 [ 0  0  0  0  0 13  0]
 [ 0  0 24  0 23 12  0]
 [19  0 20 25 21 11 22]
 [16  9  5 15 18 10 17]
 [ 7  8  1  3  6  4  2]]"
0,AIv3,Random,Random,AIv3,18,"[[ 0  0  0  0  0  0 12]
 [ 0  0  0  0  0  0  6]
 [ 0  0  0 17  0  0  5]
 [16  0  0 15  0  0  4]
 [11  0 14  9  0  0  3]
 [ 7 13  8  1  0 10  2]]"
0,AIv3,Random,AIv3,Random,22,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 15]
 [21  0  0  0 14  0 11]
 [19  0 20  0 13 12 10]
 [17  0 18  0  9  7  8]
 [ 1  5 16  6  3  2  4]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 15]
 [ 0  0  0  0  0  0 13]
 [ 0  0  0  0  9 12  5]
 [ 0  0  0 11  8 10  3]
 [ 0  6 14  1  4  7  2]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [7 0 0 0 0 3 5]
 [1 0 0 8 6 2 4]]"
0,AIv3,Random,Random,AIv3,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 13]
 [ 0  0  0  0 14 17  7]
 [16  5  0 12  9 15  4]
 [11  2  8  1  6 10  3]]"
0,AIv3,Random,AIv3,AIv3,13,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 12]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  9  7  0  8]
 [11  5  6  3  4  1  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 15  0  0  0]
 [ 0  0  0 13  0  5 12]
 [ 0 14  0 11 10  4  9]
 [ 8  6  0  1  7  2  3]]"
,p1,p2,first_turn,winner,turn_count,final_board_state
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [7 0 0 0 0 3 0]
 [1 5 0 6 8 2 4]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [10  0  0  0  0 15 14]
 [ 9  0  0  0 17  7 13]
 [ 8  0  0 11 16  6  5]
 [ 4 18 19  1 12  2  3]]"
0,AIv3,Random,AIv3,AIv3,17,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 16]
 [10  0  0  4  0  0 14]
 [ 8  0  0  3 15 11 12]
 [ 5  7  6  1 13  9  2]]"
